model,A1_no_L2,A2_no_sample_weight,A3_no_extended_tokenizer
GaussianNB,0.0,-0.32675719163849315,0.0
LogReg,-0.21515538567335124,0.664852604347194,-0.08948806852300772
LinearSVC,-0.04086211394890882,0.5607325296548797,-0.04086211394890882
Baseline,0.0,0.0,0.0
